0C004B00,0C00D880,0C00DAF8,0C011320,time
01,02,03,04,16.10.19
01,02,03,04,16.10.19
01,02,03,04,16.10.19
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.20
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.21
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.22
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.23
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.24
01,02,03,04,16.10.25
01,02,03,04,16.10.25
01,02,03,04,16.10.25
01,02,03,04,16.10.25
01,02,03,04,16.10.25
01,02,03,04,16.10.25
