0C004B00,0C00D880,0C00DAF8,0C011320,time
01,02,03,04,15.37.02
01,02,03,04,15.37.02
01,02,03,04,15.37.02
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.03
01,02,03,04,15.37.04
01,02,03,04,15.37.04
01,02,03,04,15.37.04
01,02,03,04,15.37.04
01,02,03,04,15.37.04
01,02,03,04,15.37.04
01,02,03,04,15.37.04
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.05
01,02,03,04,15.37.06
01,02,03,04,15.37.06
01,02,03,04,15.37.06
01,02,03,04,15.37.06
01,02,03,04,15.37.06
01,02,03,04,15.37.06
01,02,03,04,15.37.06
01,02,03,04,15.37.07
01,02,03,04,15.37.07
01,02,03,04,15.37.07
01,02,03,04,15.37.07
01,02,03,04,15.37.07
