0C004B00,0C00D880,0C00DAF8,0C011320,time
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.50
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.51
01,02,03,04,16.40.52
01,02,03,04,16.40.52
01,02,03,04,16.40.52
01,02,03,04,16.40.52
01,02,03,04,16.40.52
01,02,03,04,16.40.52
